index,lat,long,Country
792,35.7,139.71,Japan
815,35.7,139.71,Japan
68,36.7,3.21,Algeria
183,36.7,3.21,Algeria
269,36.7,3.21,Algeria
273,36.7,3.21,Algeria
452,36.7,3.21,Algeria
456,36.7,3.21,Algeria
503,36.7,3.21,Algeria
581,36.7,3.21,Algeria
596,36.7,3.21,Algeria
682,36.7,3.21,Algeria
685,36.7,3.21,Algeria
686,36.7,3.21,Algeria
687,36.7,3.21,Algeria
714,36.7,3.21,Algeria
718,36.7,3.21,Algeria
733,36.7,3.21,Algeria
936,36.7,3.21,Algeria
942,36.7,3.21,Algeria
20,38,23.71,Greece
74,38,23.71,Greece
133,38,23.71,Greece
174,38,23.71,Greece
221,38,23.71,Greece
264,38,23.71,Greece
277,38,23.71,Greece
279,38,23.71,Greece
346,38,23.71,Greece
361,38,23.71,Greece
365,38,23.71,Greece
374,38,23.71,Greece
457,38,23.71,Greece
519,38,23.71,Greece
541,38,23.71,Greece
553,38,23.71,Greece
642,38,23.71,Greece
710,38,23.71,Greece
749,38,23.71,Greece
781,38,23.71,Greece
802,38,23.71,Greece
807,38,23.71,Greece
845,38,23.71,Greece
964,38,23.71,Greece
976,38,23.71,Greece
989,38,23.71,Greece
1046,38,23.71,Greece
5,39.91,32.83,Turkey
34,39.91,32.83,Turkey
143,39.91,32.83,Turkey
181,39.91,32.83,Turkey
185,39.91,32.83,Turkey
200,39.91,32.83,Turkey
335,39.91,32.83,Turkey
340,39.91,32.83,Turkey
343,39.91,32.83,Turkey
355,39.91,32.83,Turkey
357,39.91,32.83,Turkey
364,39.91,32.83,Turkey
421,39.91,32.83,Turkey
434,39.91,32.83,Turkey
438,39.91,32.83,Turkey
481,39.91,32.83,Turkey
514,39.91,32.83,Turkey
563,39.91,32.83,Turkey
566,39.91,32.83,Turkey
573,39.91,32.83,Turkey
635,39.91,32.83,Turkey
649,39.91,32.83,Turkey
680,39.91,32.83,Turkey
690,39.91,32.83,Turkey
724,39.91,32.83,Turkey
742,39.91,32.83,Turkey
763,39.91,32.83,Turkey
769,39.91,32.83,Turkey
775,39.91,32.83,Turkey
824,39.91,32.83,Turkey
870,39.91,32.83,Turkey
890,39.91,32.83,Turkey
893,39.91,32.83,Turkey
923,39.91,32.83,Turkey
937,39.91,32.83,Turkey
968,39.91,32.83,Turkey
971,39.91,32.83,Turkey
981,39.91,32.83,Turkey
1010,39.91,32.83,Turkey
1023,39.91,32.83,Turkey
1043,39.91,32.83,Turkey
1044,39.91,32.83,Turkey
16,39.91,116.38,China
84,39.91,116.38,China
93,39.91,116.38,China
101,39.91,116.38,China
155,39.91,116.38,China
161,39.91,116.38,China
225,39.91,116.38,China
240,39.91,116.38,China
242,39.91,116.38,China
253,39.91,116.38,China
302,39.91,116.38,China
330,39.91,116.38,China
334,39.91,116.38,China
436,39.91,116.38,China
444,39.91,116.38,China
516,39.91,116.38,China
520,39.91,116.38,China
618,39.91,116.38,China
653,39.91,116.38,China
764,39.91,116.38,China
826,39.91,116.38,China
869,39.91,116.38,China
871,39.91,116.38,China
932,39.91,116.38,China
1005,39.91,116.38,China
1031,39.91,116.38,China
39,41.26,69.21,Uzbekistan
85,41.26,69.21,Uzbekistan
117,41.26,69.21,Uzbekistan
124,41.26,69.21,Uzbekistan
163,41.26,69.21,Uzbekistan
216,41.26,69.21,Uzbekistan
243,41.26,69.21,Uzbekistan
281,41.26,69.21,Uzbekistan
377,41.26,69.21,Uzbekistan
408,41.26,69.21,Uzbekistan
423,41.26,69.21,Uzbekistan
435,41.26,69.21,Uzbekistan
458,41.26,69.21,Uzbekistan
466,41.26,69.21,Uzbekistan
548,41.26,69.21,Uzbekistan
576,41.26,69.21,Uzbekistan
674,41.26,69.21,Uzbekistan
676,41.26,69.21,Uzbekistan
715,41.26,69.21,Uzbekistan
723,41.26,69.21,Uzbekistan
757,41.26,69.21,Uzbekistan
785,41.26,69.21,Uzbekistan
821,41.26,69.21,Uzbekistan
862,41.26,69.21,Uzbekistan
876,41.26,69.21,Uzbekistan
887,41.26,69.21,Uzbekistan
1049,41.26,69.21,Uzbekistan
69,41.33,19.8,Albania
115,41.33,19.8,Albania
151,41.33,19.8,Albania
186,41.33,19.8,Albania
245,41.33,19.8,Albania
271,41.33,19.8,Albania
311,41.33,19.8,Albania
383,41.33,19.8,Albania
394,41.33,19.8,Albania
760,41.33,19.8,Albania
909,41.33,19.8,Albania
15,41.71,44.78,Georgia
102,41.71,44.78,Georgia
176,41.71,44.78,Georgia
276,41.71,44.78,Georgia
310,41.71,44.78,Georgia
370,41.71,44.78,Georgia
393,41.71,44.78,Georgia
437,41.71,44.78,Georgia
601,41.71,44.78,Georgia
619,41.71,44.78,Georgia
736,41.71,44.78,Georgia
741,41.71,44.78,Georgia
756,41.71,44.78,Georgia
812,41.71,44.78,Georgia
835,41.71,44.78,Georgia
974,41.71,44.78,Georgia
1,41.9,12.48,Italy
21,41.9,12.48,Italy
32,41.9,12.48,Italy
61,41.9,12.48,Italy
81,41.9,12.48,Italy
90,41.9,12.48,Italy
91,41.9,12.48,Italy
98,41.9,12.48,Italy
114,41.9,12.48,Italy
138,41.9,12.48,Italy
153,41.9,12.48,Italy
166,41.9,12.48,Italy
223,41.9,12.48,Italy
259,41.9,12.48,Italy
288,41.9,12.48,Italy
292,41.9,12.48,Italy
307,41.9,12.48,Italy
323,41.9,12.48,Italy
388,41.9,12.48,Italy
441,41.9,12.48,Italy
493,41.9,12.48,Italy
591,41.9,12.48,Italy
592,41.9,12.48,Italy
598,41.9,12.48,Italy
625,41.9,12.48,Italy
646,41.9,12.48,Italy
780,41.9,12.48,Italy
813,41.9,12.48,Italy
833,41.9,12.48,Italy
872,41.9,12.48,Italy
910,41.9,12.48,Italy
927,41.9,12.48,Italy
995,41.9,12.48,Italy
1035,41.9,12.48,Italy
1047,41.9,12.48,Italy
58,42.86,74.6,Kyrgyzstan
263,42.86,74.6,Kyrgyzstan
363,42.86,74.6,Kyrgyzstan
371,42.86,74.6,Kyrgyzstan
461,42.86,74.6,Kyrgyzstan
776,42.86,74.6,Kyrgyzstan
803,42.86,74.6,Kyrgyzstan
816,42.86,74.6,Kyrgyzstan
820,42.86,74.6,Kyrgyzstan
916,42.86,74.6,Kyrgyzstan
984,42.86,74.6,Kyrgyzstan
1026,42.86,74.6,Kyrgyzstan
1056,42.86,74.6,Kyrgyzstan
23,44.41,26.1,Romania
62,44.41,26.1,Romania
123,44.41,26.1,Romania
192,44.41,26.1,Romania
251,44.41,26.1,Romania
345,44.41,26.1,Romania
392,44.41,26.1,Romania
524,44.41,26.1,Romania
728,44.41,26.1,Romania
731,44.41,26.1,Romania
912,44.41,26.1,Romania
6,52.5,-0.12,UK
26,52.5,-0.12,UK
128,52.5,-0.12,UK
252,52.5,-0.12,UK
301,52.5,-0.12,UK
306,52.5,-0.12,UK
314,52.5,-0.12,UK
539,52.5,-0.12,UK
631,52.5,-0.12,UK
739,52.5,-0.12,UK
859,52.5,-0.12,UK
1014,52.5,-0.12,UK
132,54.68,25.31,Lithuania
184,54.68,25.31,Lithuania
289,54.68,25.31,Lithuania
381,54.68,25.31,Lithuania
398,54.68,25.31,Lithuania
424,54.68,25.31,Lithuania
547,54.68,25.31,Lithuania
555,54.68,25.31,Lithuania
587,54.68,25.31,Lithuania
590,54.68,25.31,Lithuania
624,54.68,25.31,Lithuania
636,54.68,25.31,Lithuania
822,54.68,25.31,Lithuania
957,54.68,25.31,Lithuania
1025,54.68,25.31,Lithuania
